3/26/2019,27:08.6
3/26/2019,28:13.2
3/26/2019,29:35.7
3/26/2019,30:03.2
3/26/2019,34:08.9
3/26/2019,40:19.8
3/26/2019,45:42.3
3/26/2019,46:34.0
3/26/2019,59:12.7
3/26/2019,00:22.2
3/26/2019,00:50.5
3/26/2019,03:42.7
3/26/2019,03:43.5
3/26/2019,03:46.7
3/26/2019,04:23.9
3/26/2019,07:41.1
3/26/2019,34:01.0
3/26/2019,44:41.1
3/26/2019,11:18.1
3/26/2019,11:38.3
3/26/2019,12:01.0
3/26/2019,15:13.5
3/26/2019,15:15.1
3/26/2019,15:16.7
3/26/2019,15:18.3
3/26/2019,15:19.1
3/26/2019,15:20.0
3/26/2019,15:30.5
3/26/2019,15:46.7
3/26/2019,17:59.3
3/26/2019,18:17.1
3/26/2019,18:17.9
3/26/2019,19:31.5
3/26/2019,24:50.8
3/26/2019,25:33.6
3/26/2019,27:17.1
3/26/2019,27:18.7
3/26/2019,27:30.1
3/26/2019,27:48.6
3/26/2019,27:57.5
3/26/2019,28:00.8
3/26/2019,28:12.9
3/26/2019,28:21.8
